Rectangle: (0,0):(120,120)
Rectangle: (40,0):(80,40)
Rectangle: (45,20):(55,30)
Rectangle: (60,0):(70,25)
Polygon: 3 (40,40) (80,40) (60,60)
Polygon: 4 (70,50) (70,60) (74,60) (74,47)
Polygon: 4 (45,20) (45,25) (50,25) (50,20)
Rectangle: (50,20):(55,25)
Rectangle: (45,25):(50,30)
Rectangle: (50,25):(55,30)
Composite: 5 {Line: (150.823,73.887):(150.823,73.8934) Line: (150.82,73.8902):(150.826,73.8902) Line: (150.82,73.888):(150.825,73.8927) Line: (150.82,73.8927):(150.825,73.888) Circle: (150.823,73.8902) 0.0015874}
Rectangle: (0,0):(120,5)
Rectangle: (150,100):(270,220)
Rectangle: (190,100):(230,140)
Rectangle: (195,120):(205,130)
Rectangle: (210,100):(220,125)
Polygon: 3 (190,140) (230,140) (210,160)
Polygon: 4 (220,150) (220,160) (224,160) (224,147)
Polygon: 4 (195,120) (195,125) (200,125) (200,120)
Rectangle: (200,120):(205,125)
Rectangle: (195,125):(200,130)
Rectangle: (200,125):(205,130)
Composite: 5 {Line: (150.823,73.887):(150.823,73.8934) Line: (150.82,73.8902):(150.826,73.8902) Line: (150.82,73.888):(150.825,73.8927) Line: (150.82,73.8927):(150.825,73.888) Circle: (150.823,73.8902) 0.0015874}
Rectangle: (150,100):(270,105)
Rectangle: (135.355,135.355):(225.355,225.355)
Rectangle: (165.355,135.355):(195.355,165.355)
Rectangle: (169.105,150.355):(176.605,157.855)
Rectangle: (180.355,135.355):(187.855,154.105)
Polygon: 3 (165.355,165.355) (195.355,165.355) (180.355,180.355)
Polygon: 4 (187.855,172.855) (187.855,180.355) (190.855,180.355) (190.855,170.605)
Polygon: 4 (169.105,150.355) (169.105,154.105) (172.855,154.105) (172.855,150.355)
Rectangle: (172.855,150.355):(176.605,154.105)
Rectangle: (169.105,154.105):(172.855,157.855)
Rectangle: (172.855,154.105):(176.605,157.855)
Composite: 5 {Line: (150.823,73.887):(150.823,73.8934) Line: (150.82,73.8902):(150.826,73.8902) Line: (150.82,73.888):(150.825,73.8927) Line: (150.82,73.8927):(150.825,73.888) Circle: (150.823,73.8902) 0.0015874}
Rectangle: (135.355,135.355):(225.355,139.105)
Rectangle: (100,150):(167.5,217.5)
Rectangle: (122.5,150):(145,172.5)
Rectangle: (125.313,161.25):(130.938,166.875)
Rectangle: (133.75,150):(139.375,164.062)
Polygon: 3 (122.5,172.5) (145,172.5) (133.75,183.75)
Polygon: 4 (139.375,178.125) (139.375,183.75) (141.625,183.75) (141.625,176.437)
Polygon: 4 (125.313,161.25) (125.313,164.062) (128.125,164.062) (128.125,161.25)
Rectangle: (128.125,161.25):(130.938,164.062)
Rectangle: (125.313,164.062):(128.125,166.875)
Rectangle: (128.125,164.062):(130.938,166.875)
Composite: 5 {Line: (150.823,73.887):(150.823,73.8934) Line: (150.82,73.8902):(150.826,73.8902) Line: (150.82,73.888):(150.825,73.8927) Line: (150.82,73.8927):(150.825,73.888) Circle: (150.823,73.8902) 0.0015874}
Rectangle: (100,150):(167.5,152.812)
Rectangle: (64.6447,135.355):(115.27,185.98)
Rectangle: (81.5197,135.355):(98.3947,152.23)
Rectangle: (83.6291,143.793):(87.8479,148.012)
Rectangle: (89.9572,135.355):(94.176,145.902)
Polygon: 3 (81.5197,152.23) (98.3947,152.23) (89.9572,160.668)
Polygon: 4 (94.176,156.449) (94.176,160.668) (95.8635,160.668) (95.8635,155.184)
Polygon: 4 (83.6291,143.793) (83.6291,145.902) (85.7385,145.902) (85.7385,143.793)
Rectangle: (85.7385,143.793):(87.8479,145.902)
Rectangle: (83.6291,145.902):(85.7385,148.012)
Rectangle: (85.7385,145.902):(87.8479,148.012)
