what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1320358160155
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1320358160156
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1320358160157
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1320358160157
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1320358160158
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1320358160159
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1320358160159
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1320358160160
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1320358160171
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1320358160172
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1320358160172
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1320358160174
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1320358160174
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1320358160175
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1320358160176
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1320358160176
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1320358160177
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1320358160178
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1320358160178
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1320358160179
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1320358160180
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1320358160181
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1320358160182
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1320358160182
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1320358160183
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1320358160184
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1320358160184
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1320358160185
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1320358160186
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1320358160187
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1320358160187
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1320358160188
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1320358160189
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1320358160189
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1320358160190
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1320358160191
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1320358160192
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1320358160193
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1320358160196
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1320358160196
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1320358160197
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1320358160197
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1320358160198
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1320358160198
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1320358160199
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1320358160199
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1320358160200
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1320358160200
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1320358160201
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1320358160202
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1320358160203
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1320358160203
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1320358160204
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1320358160205
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1320358160206
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1320358160207
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1320358160207
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1320358160208
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1320358160209
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1320358160209
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1320358160210
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1320358160210
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1320358160211
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1320358160212
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1320358160213
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1320358160258
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1320358160259
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1320358160259
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1320358160260
os,sysinfo,,,"win32",1320358160263
arch,sysinfo,,,"x86_64",1320358160263
ws,sysinfo,,,"win32",1320358160263
locale,sysinfo,,,"en_US",1320358160263
processors,sysinfo,,,"4",1320358160263
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320358160263
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1320358160263
java.specification.name,sysinfo,,,"Java Platform API Specification",1320358160263
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320358160263
java.specification.version,sysinfo,,,"1.6",1320358160263
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1320358160263
java.version,sysinfo,,,"1.6.0_17",1320358160263
java.vm.info,sysinfo,,,"mixed mode",1320358160263
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1320358160263
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320358160263
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320358160263
java.vm.specification.version,sysinfo,,,"1.0",1320358160263
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1320358160263
java.vm.version,sysinfo,,,"14.3-b01",1320358160263
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1320358211299
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1320358211326
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1320358211351
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1320358218103
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1320358218121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358218872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358248444
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1320358248654
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1320358248704
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1320358251794
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1320358251794
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1320358252904
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358258663
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358268120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358272025
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358279663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358293146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358308528
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1320358308570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358310313
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358310570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358312924
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358313066
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1320358317097
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358319752
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1320358321215
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1320358321268
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358321529
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1320358321534
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358497125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358553688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358569530
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358610965
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358621880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358623763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358626032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358627601
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1320358627607
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1320358627607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358628425
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358629618
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1320358629622
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1320358629622
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358630687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358631891
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320358631965
stopped,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1320358632312
